Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,-0.005720824,0,0.00228833,0,0.001144165
0.2,-0.005720824,0,0.00228833,0,0.001144165
0.4,-0.00228833,0,0.00228833,0,0.001144165
0.6,-0.00228833,0,0.00228833,0,0.00228833
0.8,-0.00228833,0,0.00228833,0,0.00228833
1,-0.00228833,0,0.00228833,0,0.00228833
1.2,-0.00228833,0,0,0,0.00228833
1.4,-0.001144165,-0.001144165,0,0,0.00228833
1.6,-0.001144165,-0.001144165,0,0,0.00228833
1.8,-0.001144165,-0.001144165,0,0,0.00228833
2,0,-0.001144165,0,0,0.00228833
2.2,0,-0.001144165,0,0,0.001144165
2.4,0,-0.001144165,0,0,0.001144165
2.6,0,-0.001144165,0,0,0
2.8,0,-0.001144165,0.011441648,0,0
3,0.032036613,0.028604119,0.034324943,0,0
3.2,0.034324943,0.030892449,0.035469108,0,0.028604119
3.4,0.036613272,0.033180778,0.038901602,0.003432494,0.033180778
3.6,0.040045767,0.035469108,0.043478261,0.033180778,0.034324943
3.8,0.051487414,0.041189931,0.054919908,0.035469108,0.035469108
4,0.056064073,0.059496568,0.062929062,0.040045767,0.041189931
4.2,0.06979405,0.062929062,0.06979405,0.044622426,0.051487414
4.4,0.074370709,0.068649886,0.075514874,0.060640732,0.061784897
4.6,0.081235698,0.076659039,0.081235698,0.065217391,0.067505721
4.8,0.084668192,0.085812357,0.094965675,0.070938215,0.07208238
5,0.099542334,0.092677346,0.101830664,0.076659039,0.077803204
5.2,0.104118993,0.098398169,0.105263158,0.086956522,0.09382151
5.4,0.110983982,0.105263158,0.1201373,0.09610984,0.099542334
5.6,0.114416476,0.115560641,0.125858124,0.102974828,0.105263158
5.8,0.130434783,0.123569794,0.131578947,0.108695652,0.118993135
6,0.135011442,0.128146453,0.136155606,0.1201373,0.123569794
6.2,0.143020595,0.140732265,0.151029748,0.127002288,0.132723112
6.4,0.156750572,0.147597254,0.156750572,0.132723112,0.145308925
6.6,0.161327231,0.154462243,0.163615561,0.143020595,0.148741419
6.8,0.169336384,0.16819222,0.176201373,0.149885584,0.154462243
7,0.184210526,0.172768879,0.184210526,0.157894737,0.160183066
7.2,0.187643021,0.179633867,0.191075515,0.162471396,0.176201373
7.4,0.195652174,0.194508009,0.203661327,0.177345538,0.181922197
7.6,0.200228833,0.200228833,0.209382151,0.183066362,0.18993135
7.8,0.215102975,0.207093822,0.217391304,0.18993135,0.201372998
8,0.220823799,0.220823799,0.228832952,0.203661327,0.207093822
8.2,0.227688787,0.227688787,0.236842105,0.210526316,0.215102975
8.4,0.243707094,0.234553776,0.252860412,0.217391304,0.227688787
8.6,0.265446224,0.267734554,0.271167048,0.229977117,0.234553776
8.8,0.267734554,0.268878719,0.270022883,0.23798627,0.247139588
9,0.268878719,0.268878719,0.270022883,0.271167048,0.272311213
9.2,0.268878719,0.268878719,0.271167048,0.272311213,0.272311213
9.4,0.268878719,0.268878719,0.270022883,0.272311213,0.272311213
9.6,0.268878719,0.268878719,0.270022883,0.272311213,0.272311213
9.8,0.270022883,0.268878719,0.270022883,0.272311213,0.272311213
10,0.270022883,0.268878719,0.270022883,0.272311213,0.272311213
10.2,0.270022883,0.268878719,0.270022883,0.272311213,0.272311213
10.4,0.270022883,0.268878719,0.270022883,0.272311213,0.272311213
10.6,0.270022883,0.268878719,0.270022883,0.272311213,0.271167048
10.8,0.270022883,0.268878719,0.270022883,0.272311213,0.271167048
11,0.270022883,0.268878719,0.270022883,0.272311213,0.271167048
11.2,0.270022883,0.268878719,0.270022883,0.272311213,0.271167048
11.4,0.270022883,0.268878719,0.270022883,0.272311213,0.271167048
11.6,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
11.8,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
12,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
12.2,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
12.4,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
12.6,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
12.8,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
13,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
13.2,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
13.4,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
13.6,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
13.8,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
14,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
14.2,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
14.4,0.271167048,0.268878719,0.270022883,0.271167048,0.271167048
14.6,0.271167048,0.268878719,0.270022883,0.270022883,0.271167048
14.8,0.271167048,0.268878719,0.270022883,0.270022883,0.271167048
15,0.271167048,0.267734554,0.270022883,0.270022883,0.271167048
15.2,0.271167048,0.267734554,0.270022883,0.270022883,0.271167048
15.4,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
15.6,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
15.8,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
16,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
16.2,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
16.4,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
16.6,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
16.8,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
17,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
17.2,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
17.4,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
17.6,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
17.8,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
18,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
18.2,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
18.4,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
18.6,0.271167048,0.266590389,0.270022883,0.270022883,0.271167048
18.8,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
19,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
19.2,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
19.4,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
19.6,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
19.8,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
20,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
20.2,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
20.4,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
20.6,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
20.8,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
21,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
21.2,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
21.4,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
21.6,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
21.8,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
22,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
22.2,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
22.4,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
22.6,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
22.8,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
23,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
23.2,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
23.4,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
23.6,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
23.8,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
24,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
24.2,0.270022883,0.266590389,0.270022883,0.270022883,0.271167048
24.4,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
24.6,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
24.8,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
25,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
25.2,0.270022883,0.266590389,0.270022883,0.268878719,0.271167048
25.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
25.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
25.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
26,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
26.2,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
26.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
26.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
26.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
27,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
27.2,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
27.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
27.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
27.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
28,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
28.2,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
28.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
28.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
28.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
29,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
29.2,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
29.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
29.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
29.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
30,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
30.2,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
30.4,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
30.6,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
30.8,0.270022883,0.266590389,0.268878719,0.268878719,0.271167048
31,0.270022883,0.266590389,0.268878719,0.270022883,0.271167048
31.2,0.270022883,0.266590389,0.268878719,0.270022883,0.271167048
31.4,0.270022883,0.266590389,0.268878719,0.270022883,0.271167048
31.6,0.270022883,0.266590389,0.268878719,0.270022883,0.271167048
31.8,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
32,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
32.2,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
32.4,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
32.6,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
32.8,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
33,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
33.2,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
33.4,0.270022883,0.266590389,0.268878719,0.270022883,0.270022883
33.6,0.271167048,0.266590389,0.268878719,0.270022883,0.270022883
33.8,0.271167048,0.266590389,0.268878719,0.270022883,0.270022883
34,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
34.2,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
34.4,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
34.6,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
34.8,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
35,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
35.2,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
35.4,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
35.6,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
35.8,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
36,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
36.2,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
36.4,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
36.6,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
36.8,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
37,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
37.2,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
37.4,0.271167048,0.265446224,0.268878719,0.270022883,0.270022883
37.6,0.271167048,0.265446224,0.270022883,0.270022883,0.270022883
37.8,0.271167048,0.265446224,0.270022883,0.270022883,0.270022883
38,0.271167048,0.265446224,0.270022883,0.270022883,0.270022883
38.2,0.271167048,0.265446224,0.270022883,0.270022883,0.270022883
