Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,0.003464203,0,0,-0.002309469,-0.003464203
0.2,0.003464203,0,0,-0.002309469,-0.003464203
0.4,0.003464203,0,0,-0.002309469,-0.003464203
0.6,0.003464203,0,0,-0.002309469,-0.003464203
0.8,0.003464203,0,0,-0.002309469,-0.003464203
1,0.003464203,0,0,0.026558891,-0.003464203
1.2,0.003464203,0.015011547,0,0.050808314,-0.003464203
1.4,0.003464203,0.042725173,0.032332564,0.051963049,0.02886836
1.6,0.017321016,0.054272517,0.051963049,0.069284065,0.050808314
1.8,0.035796767,0.065819861,0.06812933,0.075057737,0.057736721
2,0.055427252,0.076212471,0.072748268,0.102771363,0.071593533
2.2,0.071593533,0.080831409,0.07852194,0.105080831,0.086605081
2.4,0.07852194,0.1073903,0.105080831,0.120092379,0.103926097
2.6,0.084295612,0.116628176,0.112009238,0.127020785,0.113163972
2.8,0.108545035,0.12817552,0.127020785,0.155889146,0.122401848
3,0.121247113,0.132794457,0.131639723,0.158198614,0.12817552
3.2,0.130484989,0.162817552,0.160508083,0.172055427,0.155889146
3.4,0.136258661,0.166281755,0.168591224,0.180138568,0.163972286
3.6,0.162817552,0.181293303,0.178983834,0.209006928,0.175519631
3.8,0.176674365,0.188221709,0.184757506,0.212471132,0.181293303
4,0.183602771,0.215935335,0.212471132,0.227482679,0.210161663
4.2,0.207852194,0.221709007,0.219399538,0.233256351,0.214780601
4.4,0.217090069,0.23556582,0.233256351,0.259815243,0.228637413
4.6,0.228637413,0.241339492,0.236720554,0.265588915,0.23556582
4.8,0.236720554,0.271362587,0.266743649,0.278290993,0.263279446
5,0.243648961,0.270207852,0.271362587,0.286374134,0.270207852
5.2,0.270207852,0.289838337,0.286374134,0.301385681,0.281755196
5.4,0.279445728,0.29330254,0.290993072,0.317551963,0.287528868
5.6,0.290993072,0.323325635,0.319861432,0.329099307,0.317551963
5.8,0.295612009,0.32448037,0.326789838,0.339491917,0.319861432
6,0.323325635,0.340646651,0.339491917,0.346420323,0.334872979
6.2,0.330254042,0.346420323,0.344110855,0.370669746,0.339491917
6.4,0.344110855,0.377598152,0.372979215,0.378752887,0.368360277
6.6,0.347575058,0.381062356,0.377598152,0.3926097,0.37182448
6.8,0.376443418,0.393764434,0.393764434,0.40300231,0.387990762
7,0.379907621,0.400692841,0.397228637,0.424942263,0.391454965
7.2,0.398383372,0.429561201,0.426096998,0.437644342,0.42147806
7.4,0.401847575,0.43187067,0.433025404,0.45034642,0.428406467
7.6,0.429561201,0.449191686,0.444572748,0.478060046,0.439953811
7.8,0.433025404,0.453810624,0.449191686,0.486143187,0.445727483
8,0.451501155,0.481524249,0.479214781,0.498845266,0.473441109
8.2,0.454965358,0.483833718,0.482678984,0.523094688,0.478060046
8.4,0.482678984,0.502309469,0.498845266,0.530023095,0.495381062
8.6,0.488452656,0.506928407,0.503464203,0.531177829,0.498845266
8.8,0.502309469,0.535796767,0.531177829,0.532332564,0.526558892
9,0.505773672,0.536951501,0.533487298,0.532332564,0.527713626
9.2,0.533487298,0.538106236,0.533487298,0.532332564,0.52886836
9.4,0.534642032,0.538106236,0.533487298,0.532332564,0.530023095
9.6,0.534642032,0.538106236,0.533487298,0.532332564,0.538106236
9.8,0.534642032,0.538106236,0.533487298,0.532332564,0.547344111
10,0.534642032,0.53926097,0.533487298,0.532332564,0.547344111
10.2,0.536951501,0.542725173,0.533487298,0.532332564,0.548498845
10.4,0.540415704,0.554272517,0.533487298,0.532332564,0.548498845
10.6,0.542725173,0.554272517,0.533487298,0.532332564,0.548498845
10.8,0.542725173,0.554272517,0.533487298,0.532332564,0.548498845
11,0.542725173,0.554272517,0.547344111,0.532332564,0.548498845
11.2,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
11.4,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
11.6,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
11.8,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
12,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
12.2,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
12.4,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
12.6,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
12.8,0.542725173,0.554272517,0.54965358,0.532332564,0.548498845
13,0.542725173,0.554272517,0.550808314,0.548498845,0.548498845
13.2,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
13.4,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
13.6,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
13.8,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
14,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
14.2,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
14.4,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
14.6,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
14.8,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
15,0.542725173,0.554272517,0.550808314,0.54965358,0.548498845
15.2,0.542725173,0.554272517,0.551963049,0.54965358,0.548498845
15.4,0.542725173,0.554272517,0.551963049,0.54965358,0.548498845
15.6,0.542725173,0.554272517,0.551963049,0.54965358,0.548498845
15.8,0.542725173,0.554272517,0.551963049,0.54965358,0.548498845
