Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,0.001141553,0,0.00913242,0,0
0.2,0.001141553,0,0.00913242,0,0
0.4,0.001141553,0,0.007990868,0,0
0.6,0.001141553,0,0.007990868,0,0
0.8,0.001141553,0,0.007990868,0,0
1,0.001141553,0,0.007990868,0,0
1.2,0.001141553,0,0.006849315,0,0
1.4,0.001141553,0,0.006849315,0,0
1.6,0.001141553,0,0.006849315,0,0
1.8,0.001141553,0,0.00456621,0,0
2,0.001141553,0,0.003424658,0,0
2.2,0.001141553,0,0.005707763,0,0
2.4,0.03652968,0,0.038812785,0,0
2.6,0.038812785,0.034246575,0.04109589,0.033105023,0
2.8,0.047945205,0.037671233,0.047945205,0.039954338,0
3,0.061643836,0.051369863,0.073059361,0.050228311,0.033105023
3.2,0.075342466,0.067351598,0.078767123,0.063926941,0.03652968
3.4,0.090182648,0.077625571,0.089041096,0.076484018,0.044520548
3.6,0.100456621,0.094748858,0.108447489,0.090182648,0.065068493
3.8,0.109589041,0.102739726,0.118721461,0.099315068,0.077625571
4,0.123287671,0.117579909,0.133561644,0.113013699,0.095890411
4.2,0.133561644,0.126712329,0.146118722,0.121004566,0.103881279
4.4,0.147260274,0.138127854,0.160958904,0.132420091,0.121004566
4.6,0.158675799,0.154109589,0.172374429,0.148401827,0.128995434
4.8,0.176940639,0.165525114,0.189497717,0.157534247,0.146118722
5,0.182648402,0.182648402,0.200913242,0.174657534,0.154109589
5.2,0.196347032,0.194063927,0.215753425,0.183789954,0.166666667
5.4,0.215753425,0.212328767,0.228310502,0.200913242,0.181506849
5.6,0.224885845,0.21803653,0.24543379,0.21347032,0.194063927
5.8,0.243150685,0.238584475,0.257990868,0.230593607,0.20890411
6,0.253424658,0.25,0.276255708,0.242009132,0.221461187
6.2,0.27283105,0.26826484,0.285388128,0.261415525,0.239726027
6.4,0.287671233,0.27739726,0.309360731,0.271689498,0.25
6.6,0.301369863,0.297945206,0.316210046,0.29109589,0.269406393
6.8,0.317351598,0.307077626,0.337899543,0.301369863,0.280821918
7,0.329908676,0.327625571,0.348173516,0.320776256,0.299086758
7.2,0.358447489,0.340182648,0.368721461,0.331050228,0.312785388
7.4,0.374429224,0.357305936,0.378995434,0.352739726,0.328767123
7.6,0.388127854,0.369863014,0.399543379,0.360730594,0.348173516
7.8,0.422374429,0.389269406,0.429223744,0.382420091,0.358447489
8,0.429223744,0.408675799,0.436073059,0.399543379,0.380136986
8.2,0.431506849,0.437214612,0.436073059,0.433789954,0.392694064
8.4,0.431506849,0.436073059,0.437214612,0.434931507,0.439497717
8.6,0.432648402,0.437214612,0.437214612,0.436073059,0.437214612
8.8,0.432648402,0.437214612,0.437214612,0.436073059,0.436073059
9,0.433789954,0.437214612,0.437214612,0.436073059,0.437214612
9.2,0.433789954,0.438356164,0.437214612,0.436073059,0.437214612
9.4,0.434931507,0.438356164,0.437214612,0.436073059,0.437214612
9.6,0.434931507,0.438356164,0.437214612,0.436073059,0.437214612
9.8,0.436073059,0.438356164,0.437214612,0.436073059,0.437214612
10,0.436073059,0.438356164,0.436073059,0.436073059,0.437214612
10.2,0.436073059,0.438356164,0.436073059,0.436073059,0.437214612
10.4,0.436073059,0.437214612,0.436073059,0.436073059,0.437214612
10.6,0.436073059,0.437214612,0.436073059,0.436073059,0.437214612
10.8,0.436073059,0.437214612,0.436073059,0.436073059,0.437214612
11,0.436073059,0.437214612,0.436073059,0.436073059,0.437214612
11.2,0.437214612,0.437214612,0.436073059,0.436073059,0.437214612
11.4,0.437214612,0.437214612,0.436073059,0.436073059,0.437214612
11.6,0.437214612,0.437214612,0.436073059,0.436073059,0.437214612
11.8,0.437214612,0.437214612,0.436073059,0.436073059,0.437214612
12,0.437214612,0.437214612,0.436073059,0.434931507,0.437214612
12.2,0.438356164,0.437214612,0.436073059,0.434931507,0.437214612
12.4,0.438356164,0.437214612,0.436073059,0.434931507,0.437214612
12.6,0.438356164,0.437214612,0.436073059,0.434931507,0.437214612
12.8,0.439497717,0.437214612,0.436073059,0.434931507,0.437214612
13,0.44977169,0.437214612,0.436073059,0.434931507,0.436073059
13.2,0.450913242,0.437214612,0.436073059,0.434931507,0.436073059
13.4,0.44977169,0.437214612,0.436073059,0.434931507,0.436073059
13.6,0.448630137,0.437214612,0.436073059,0.434931507,0.436073059
13.8,0.447488585,0.437214612,0.436073059,0.434931507,0.436073059
14,0.446347032,0.437214612,0.436073059,0.434931507,0.436073059
14.2,0.440639269,0.437214612,0.436073059,0.434931507,0.436073059
14.4,0.440639269,0.437214612,0.436073059,0.434931507,0.436073059
14.6,0.439497717,0.437214612,0.436073059,0.436073059,0.436073059
14.8,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
15,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
15.2,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
15.4,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
15.6,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
15.8,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
16,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
16.2,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
16.4,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
16.6,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
16.8,0.438356164,0.437214612,0.436073059,0.436073059,0.436073059
17,0.437214612,0.437214612,0.436073059,0.436073059,0.436073059
17.2,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
17.4,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
17.6,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
17.8,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
18,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
18.2,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
18.4,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
18.6,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
18.8,0.434931507,0.437214612,0.436073059,0.436073059,0.436073059
19,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
19.2,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
19.4,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
19.6,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
19.8,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
20,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
20.2,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
20.4,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
20.6,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
20.8,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
21,0.434931507,0.437214612,0.436073059,0.436073059,0.434931507
21.2,0.434931507,0.436073059,0.436073059,0.436073059,0.434931507
21.4,0.436073059,0.436073059,0.436073059,0.436073059,0.434931507
21.6,0.436073059,0.436073059,0.436073059,0.436073059,0.434931507
21.8,0.436073059,0.436073059,0.436073059,0.436073059,0.434931507
22,0.437214612,0.436073059,0.436073059,0.436073059,0.434931507
22.2,0.437214612,0.436073059,0.436073059,0.436073059,0.434931507
22.4,0.437214612,0.436073059,0.436073059,0.436073059,0.434931507
22.6,0.437214612,0.436073059,0.436073059,0.436073059,0.434931507
22.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
23,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
23.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
23.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
23.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
23.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
24,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
24.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
24.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
24.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
24.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
25,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
25.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
25.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
25.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
25.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
26,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
26.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
26.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
26.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
26.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
27,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
27.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
27.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
27.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
27.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
28,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
28.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
28.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
28.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
28.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
29,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
29.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
29.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
29.6,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
29.8,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
30,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
30.2,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
30.4,0.437214612,0.434931507,0.436073059,0.436073059,0.434931507
30.6,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
30.8,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
31,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
31.2,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
31.4,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
31.6,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
31.8,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
32,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
32.2,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
32.4,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
32.6,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
32.8,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
33,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
33.2,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
33.4,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
33.6,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
33.8,0.437214612,0.434931507,0.433789954,0.436073059,0.436073059
34,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
34.2,0.437214612,0.434931507,0.433789954,0.436073059,0.434931507
34.4,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
34.6,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
34.8,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
35,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
35.2,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
35.4,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
35.6,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
35.8,0.437214612,0.434931507,0.434931507,0.436073059,0.434931507
