Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,0.001144165,0.001144165,0,0.001144165,0.00228833
0.2,0.001144165,0.001144165,0,0.001144165,0.00228833
0.4,0.001144165,0.001144165,0,0.001144165,0.00228833
0.6,0.001144165,0.001144165,0,0.001144165,0.00228833
0.8,0.001144165,0.001144165,0,0.001144165,0.00228833
1,0.001144165,0.001144165,0,0.001144165,0.00228833
1.2,0.001144165,0.001144165,0,0.001144165,0.00228833
1.4,0.001144165,0.001144165,0,0.001144165,0.00228833
1.6,0.001144165,0.001144165,0,0.00228833,0.00228833
1.8,0.001144165,0.001144165,0,0.00228833,0.00228833
2,0.001144165,0.001144165,0,0.00228833,0
2.2,0.001144165,0.001144165,0,0.00228833,0
2.4,0.001144165,0.001144165,0,0.00228833,0
2.6,0.001144165,0.001144165,0,0.00228833,-0.001144165
2.8,0.001144165,0.001144165,0,0,-0.001144165
3,0.001144165,0.001144165,0,0,-0.001144165
3.2,0.001144165,0.001144165,0,0,-0.001144165
3.4,0.001144165,0.001144165,0,0,-0.001144165
3.6,0.001144165,0.001144165,0,0,-0.001144165
3.8,0.001144165,0.001144165,0,0,-0.001144165
4,0,0,0,0,-0.001144165
4.2,0,0,0,0,-0.001144165
4.4,0,0,0,0,-0.001144165
4.6,0,0,0,0,-0.001144165
4.8,0,0,0,0,-0.001144165
5,0,0,0,0,-0.001144165
5.2,0,0,0,0,-0.001144165
5.4,0,0,0,0,-0.001144165
5.6,0,0,0,0,-0.001144165
5.8,0,0,0,-0.001144165,-0.001144165
6,0,0,0.028604119,-0.001144165,-0.001144165
6.2,0,0,0.029748284,-0.001144165,-0.001144165
6.4,0,0.027459954,0.030892449,-0.001144165,0.026315789
6.6,0.030892449,0.029748284,0.030892449,0.027459954,0.027459954
6.8,0.033180778,0.029748284,0.032036613,0.028604119,0.027459954
7,0.033180778,0.030892449,0.032036613,0.029748284,0.027459954
7.2,0.034324943,0.030892449,0.033180778,0.029748284,0.028604119
7.4,0.034324943,0.032036613,0.033180778,0.029748284,0.028604119
7.6,0.034324943,0.032036613,0.034324943,0.030892449,0.029748284
7.8,0.035469108,0.033180778,0.050343249,0.030892449,0.029748284
8,0.035469108,0.033180778,0.051487414,0.032036613,0.036613272
8.2,0.035469108,0.033180778,0.052631579,0.033180778,0.049199085
8.4,0.037757437,0.043478261,0.053775744,0.050343249,0.050343249
8.6,0.056064073,0.054919908,0.056064073,0.052631579,0.051487414
8.8,0.058352403,0.057208238,0.061784897,0.053775744,0.053775744
