Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,-0.00456621,0,-0.00456621,-0.002283105,-0.002283105
0.2,-0.00456621,0,-0.00456621,0,-0.002283105
0.4,-0.00456621,0,-0.00456621,0,-0.002283105
0.6,-0.00456621,0,-0.00456621,0,-0.002283105
0.8,-0.00456621,0,-0.00456621,0,-0.002283105
1,-0.00456621,0,-0.00456621,0,-0.002283105
1.2,-0.00456621,0,-0.00456621,0,-0.002283105
1.4,-0.00456621,0,-0.00456621,0,-0.002283105
1.6,-0.00456621,0,-0.00456621,0,-0.002283105
1.8,-0.00456621,0,-0.00456621,0,-0.002283105
2,-0.00456621,0,-0.00456621,0,-0.002283105
2.2,-0.00456621,0,-0.00456621,0,-0.002283105
2.4,-0.00456621,0,-0.00456621,0,-0.002283105
2.6,-0.00456621,-0.001141553,-0.00456621,0,-0.002283105
2.8,-0.00456621,-0.001141553,-0.00456621,0,-0.002283105
3,-0.00456621,-0.001141553,-0.00456621,0,-0.002283105
3.2,-0.00456621,-0.001141553,-0.00456621,0,-0.002283105
3.4,-0.00456621,-0.001141553,-0.00456621,0,-0.002283105
3.6,-0.00456621,-0.002283105,-0.00456621,0,-0.002283105
3.8,0.017123288,-0.002283105,0.030821918,0,-0.002283105
4,0.03196347,0.03196347,0.03196347,0,0.03196347
4.2,0.034246575,0.033105023,0.033105023,0.033105023,0.033105023
4.4,0.034246575,0.034246575,0.034246575,0.034246575,0.034246575
4.6,0.03652968,0.038812785,0.039954338,0.03652968,0.037671233
4.8,0.059360731,0.052511416,0.062785388,0.04109589,0.044520548
5,0.063926941,0.061643836,0.065068493,0.059360731,0.063926941
5.2,0.069634703,0.067351598,0.070776256,0.062785388,0.068493151
5.4,0.074200913,0.071917808,0.076484018,0.068493151,0.074200913
5.6,0.091324201,0.087899543,0.094748858,0.074200913,0.091324201
5.8,0.098173516,0.092465753,0.100456621,0.089041096,0.097031963
6,0.105022831,0.100456621,0.107305936,0.095890411,0.106164384
6.2,0.118721461,0.111872146,0.122146119,0.101598174,0.118721461
6.4,0.125570776,0.118721461,0.130136986,0.116438356,0.124429224
6.6,0.132420091,0.126712329,0.134703196,0.121004566,0.131278539
6.8,0.146118722,0.138127854,0.149543379,0.128995434,0.143835616
