Time,99.8 cP,2096 cP,6033 cP,11469 cP,20962 cP
16.2,0.741627907,0.491402715,0.409619687,0.372009029,0.355280899
16.4,0.741627907,0.491402715,0.409619687,0.372009029,0.355280899
16.6,0.741627907,0.491402715,0.409619687,0.372009029,0.355280899
16.8,0.741627907,0.491402715,0.409619687,0.371783296,0.355280899
17,0.741627907,0.491402715,0.409619687,0.371783296,0.355505618
17.2,0.741627907,0.491402715,0.409619687,0.371783296,0.35505618
17.4,0.741627907,0.491402715,0.409619687,0.371783296,0.35505618
17.6,0.741627907,0.490497738,0.40917226,0.371783296,0.35505618
17.8,0.741627907,0.490723982,0.40917226,0.371783296,0.35505618
18,0.741627907,0.490497738,0.40917226,0.371783296,0.35505618
18.2,0.741627907,0.490497738,0.40917226,0.371783296,0.35505618
18.4,0.741627907,0.490723982,0.40917226,0.371783296,0.35505618
18.6,0.741395349,0.490723982,0.40917226,0.371783296,0.35505618
18.8,0.741395349,0.490950226,0.40917226,0.371783296,0.35505618
19,0.741395349,0.490723982,0.40917226,0.371783296,0.355280899
19.2,0.741395349,0.491176471,0.40917226,0.371783296,0.355280899
19.4,0.741395349,0.491176471,0.40917226,0.371783296,0.355280899
19.6,0.741395349,0.490950226,0.40917226,0.371783296,0.355280899
19.8,0.741395349,0.490950226,0.409395973,0.371783296,0.355280899
20,0.741395349,0.490950226,0.409395973,0.371783296,0.355280899
20.2,0.741395349,0.490723982,0.409395973,0.371783296,0.355280899
20.4,0.741395349,0.490723982,0.409395973,0.371783296,0.355505618
20.6,0.741395349,0.490723982,0.409395973,0.371783296,0.355505618
20.8,0.741395349,0.490723982,0.409395973,0.371783296,0.355505618
21,0.741395349,0.490497738,0.409395973,0.371557562,0.355505618
21.2,0.741395349,0.490497738,0.409395973,0.371557562,0.355505618
21.4,0.741395349,0.490271493,0.40917226,0.371557562,0.355505618
21.6,0.741395349,0.490045249,0.40917226,0.371557562,0.355505618
21.8,0.741395349,0.490045249,0.40917226,0.371557562,0.355505618
22,0.741395349,0.490045249,0.40917226,0.371557562,0.355505618
22.2,0.741395349,0.490045249,0.40917226,0.371557562,0.355730337
22.4,0.741395349,0.490045249,0.40917226,0.371557562,0.355730337
22.6,0.741395349,0.490723982,0.40917226,0.371557562,0.355730337
22.8,0.741395349,0.490950226,0.40917226,0.371331829,0.355730337
23,0.741395349,0.490950226,0.40917226,0.371331829,0.355730337
23.2,0.741395349,0.490950226,0.40917226,0.371331829,0.355730337
23.4,0.741395349,0.490950226,0.40917226,0.371106095,0.355730337
23.6,0.741395349,0.491176471,0.40917226,0.371106095,0.355730337
23.8,0.741395349,0.490950226,0.40917226,0.371106095,0.355730337
24,0.741395349,0.491176471,0.40917226,0.371106095,0.355730337
24.2,0.741395349,0.491176471,0.40917226,0.371106095,0.355730337
24.4,0.741395349,0.491176471,0.408948546,0.371106095,0.355730337
24.6,0.741395349,0.491176471,0.408948546,0.371106095,0.355730337
24.8,0.741395349,0.491176471,0.408948546,0.371106095,0.355730337
25,0.741395349,0.491176471,0.408948546,0.371106095,0.355730337
25.2,0.741395349,0.491176471,0.408948546,0.371106095,0.355730337
25.4,0.741395349,0.490950226,0.408948546,0.371106095,0.355730337
25.6,0.741395349,0.490950226,0.408948546,0.371106095,0.355730337
25.8,0.741395349,0.490045249,0.408948546,0.371106095,0.355730337
26,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
26.2,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
26.4,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
26.6,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
26.8,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
27,0.741395349,0.489819005,0.408948546,0.371106095,0.355730337
27.2,0.741395349,0.48959276,0.409172259,0.371106095,0.355730337
27.4,0.741395349,0.48959276,0.408948546,0.371106095,0.355730337
27.6,0.741395349,0.48959276,0.408948546,0.371106095,0.355730337
27.8,0.741395349,0.48959276,0.408948546,0.371106095,0.355730337
28,0.741395349,0.48959276,0.408948546,0.371106095,0.355730337
28.2,0.741395349,0.48959276,0.408948546,0.371106095,0.355730337
28.4,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
28.6,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
28.8,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
29,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
29.2,0.741395349,0.490045249,0.408724832,0.371106095,0.355730337
29.4,0.741395349,0.48959276,0.408724832,0.371106095,0.355730337
29.6,0.741395349,0.489366516,0.408724832,0.371106095,0.355730337
29.8,0.741395349,0.489819004,0.408501119,0.371106095,0.355730337
30,0.741395349,0.489819004,0.408501119,0.371106095,0.355730337
30.2,0.741395349,0.489819004,0.408724832,0.371106095,0.355730337
30.4,0.741395349,0.489819004,0.408724832,0.371106095,0.355730337
30.6,0.741395349,0.48959276,0.408724832,0.371106095,0.355730337
30.8,0.741627907,0.489366516,0.408724832,0.371106095,0.355730337
31,0.741627907,0.489366516,0.408724832,0.371106095,0.355730337
31.2,0.741627907,0.489366516,0.408724832,0.371106095,0.355955056
31.4,0.741627907,0.48959276,0.408724832,0.371106095,0.355955056
31.6,0.741627907,0.48959276,0.408724832,0.371106095,0.367640449
31.8,0.741627907,0.48959276,0.408724832,0.371106095,0.368089888
32,0.741627907,0.48959276,0.408724832,0.371106095,0.368089888
32.2,0.741627907,0.48959276,0.408724832,0.371331829,0.368314607
32.4,0.741627907,0.48959276,0.408724832,0.371331829,0.368539326
32.6,0.741627907,0.48959276,0.408724832,0.371331829,0.368539326
32.8,0.741627907,0.48959276,0.408724832,0.371331829,0.368539326
33,0.741627907,0.490045249,0.408724832,0.371331829,0.368764045
33.2,0.741627907,0.490045249,0.408724832,0.371331829,0.368764045
33.4,0.741627907,0.490045249,0.408501119,0.371331829,0.368764045
33.6,0.741627907,0.489819005,0.408501119,0.371331829,0.368764045
33.8,0.741627907,0.489819005,0.408501119,0.371331829,0.368988764
34,0.741627907,0.490045249,0.408501119,0.371331829,0.368988764
34.2,0.741627907,0.490045249,0.408501119,0.371331829,0.369213483
34.4,0.741627907,0.490271493,0.408501119,0.371331829,0.369213483
34.6,0.741627907,0.490271493,0.408501119,0.371331829,0.369438202
34.8,0.741627907,0.490271493,0.408501119,0.371331829,0.369438202
35,0.741627907,0.490723982,0.408501119,0.371331829,0.369213483
35.2,0.741627907,0.490950226,0.408501119,0.371331829,0.369213483
35.4,0.741627907,0.490497738,0.408501119,0.371331829,0.369213483
35.6,0.741627907,0.490723982,0.408724832,0.371331829,0.369213483
35.8,0.741627907,0.490723982,0.408724832,0.371331829,0.369438202
36,0.741395349,0.490271493,0.408724832,0.371331829,0.369438202
36.2,0.741395349,0.490497738,0.408724832,0.371331829,0.369438202
36.4,0.741395349,0.490497738,0.408724832,0.371331829,0.369438202
36.6,0.741395349,0.490497738,0.408724832,0.371331829,0.369438202
36.8,0.741395349,0.490497738,0.408724832,0.371331829,0.369438202
37,0.741395349,0.490497738,0.408724832,0.371331829,0.369438202
37.2,0.741395349,0.490723982,0.408948546,0.371331829,0.369438202
37.4,0.741395349,0.490950226,0.408948546,0.371331829,0.369438202
37.6,0.741395349,0.491176471,0.408948546,0.371106095,0.369438202
37.8,0.741395349,0.491176471,0.408948546,0.371106095,0.369438202
38,0.741395349,0.491176471,0.408948546,0.371106095,0.369438202
38.2,0.741395349,0.491176471,0.408948546,0.371106095,0.369438202
38.4,0.741395349,0.491176471,0.408948546,0.371106095,0.369438202
38.6,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
38.8,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
39,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
39.2,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
39.4,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
39.6,0.741395349,0.490950227,0.408948546,0.371106095,0.369438202
39.8,0.741395349,0.490723982,0.408948546,0.371106095,0.369438202
40,0.741395349,0.490723982,0.408948546,0.371106095,0.369438202
40.2,0.741395349,0.490723982,0.408948546,0.371106095,0.369438202
